Prey / Predator,D,N,P1,P2,M1,M2
D,0.8457473126,0.8356966074,0.8350389633,0.8422283204,0.8314274591,0.8471695784
N,0.8423867111,0.8187770654,0.8422305744,0.8287482660,0.8327671840,0.8385556413
P1,0.8467271002,0.8268378979,0.8392912489,0.8497158223,0.8331100955,0.8613936743
P2,0.8395639674,0.8249121522,0.8307009454,0.8309750516,0.8286252790,0.8368993550
M1,0.8467940356,0.8248061909,0.8407206957,0.8568007449,0.8350305862,0.8680962269
M2,0.8395737563,0.8269380191,0.8323390243,0.8288038831,0.8311751950,0.8352519771
