w1,w2,run_directory,remaining_pipeline_script,equilibrium_count,prey_consensus_leader,prey_consensus_probability_mean,prey_consensus_probability_min,prey_consensus_probability_max,prey_support_size_min,prey_support_size_max,prey_normalized_entropy_mean,predator_consensus_leader,predator_consensus_probability_mean,predator_consensus_probability_min,predator_consensus_probability_max,predator_support_size_min,predator_support_size_max,predator_normalized_entropy_mean,prey_expected_payoff_mean,prey_expected_payoff_min,prey_expected_payoff_max,predator_expected_payoff_mean,predator_expected_payoff_min,predator_expected_payoff_max
0,1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0__w2_1/run_remaining_pipeline.sh,1,D,0.6877636907,0.6877636907,0.6877636907,2,2,0.3465187792,M2,0.8932490180,0.8932490180,0.8932490180,2,2,0.1895723741,0.8223654346,0.8223654346,0.8223654346,1.0740980609,1.0740980609,1.0740980609
0.1,0,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0/run_remaining_pipeline.sh,1,P1,0.5752545543,0.5752545543,0.5752545543,2,2,0.3805072840,D,0.9165860083,0.9165860083,0.9165860083,2,2,0.1601941308,0.8808995707,0.8808995707,0.8808995707,1.0381081777,1.0381081777,1.0381081777
0.1,0.1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p1,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p1/run_remaining_pipeline.sh,1,P1,0.7482055360,0.7482055360,0.7482055360,2,2,0.3149407056,D,0.9262132301,0.9262132301,0.9262132301,2,2,0.1469649255,0.8792272827,0.8792272827,0.8792272827,1.0381604206,1.0381604206,1.0381604206
0.1,0.2,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p2,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p2/run_remaining_pipeline.sh,1,P1,0.9823965433,0.9823965433,0.9823965433,2,2,0.0494260418,M1,0.8207326532,0.8207326532,0.8207326532,2,2,0.2624686615,0.8819575377,0.8819575377,0.8819575377,1.0386919075,1.0386919075,1.0386919075
0.1,0.3,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p3,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p3/run_remaining_pipeline.sh,1,P1,0.8590139129,0.8590139129,0.8590139129,3,3,0.2694741269,M2,0.8471741471,0.8471741471,0.8471741471,3,3,0.2849365316,0.8720942498,0.8720942498,0.8720942498,1.0455112337,1.0455112337,1.0455112337
0.1,0.4,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p4,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p4/run_remaining_pipeline.sh,1,P1,0.7613123923,0.7613123923,0.7613123923,3,3,0.3977345436,N,0.5076922433,0.5076922433,0.5076922433,3,3,0.4897766884,0.8524345760,0.8524345760,0.8524345760,1.0557468315,1.0557468315,1.0557468315
0.1,0.5,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p5,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p5/run_remaining_pipeline.sh,1,P1,0.7493568253,0.7493568253,0.7493568253,3,3,0.3984618705,N,0.7866696236,0.7866696236,0.7866696236,3,3,0.3613740345,0.8379398825,0.8379398825,0.8379398825,1.0624045332,1.0624045332,1.0624045332
0.1,0.6,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p6,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p6/run_remaining_pipeline.sh,1,P1,0.8928616999,0.8928616999,0.8928616999,2,2,0.1900311521,N,0.8763895265,0.8763895265,0.8763895265,2,2,0.2087654170,0.8249342601,0.8249342601,0.8249342601,1.0704348070,1.0704348070,1.0704348070
0.1,0.7,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p7,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p7/run_remaining_pipeline.sh,1,P1,0.5891718253,0.5891718253,0.5891718253,3,3,0.5343276485,M2,0.5194138054,0.5194138054,0.5194138054,3,3,0.5350293496,0.8102070706,0.8102070706,0.8102070706,1.0763888419,1.0763888419,1.0763888419
0.1,0.8,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p8,/home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/output/figure_runs/ma_campagne/runs/game_theory/weight_nash_heatmap/weight_runs/w1_0p1__w2_0p8/run_remaining_pipeline.sh,1,P2,0.5931988073,0.5931988073,0.5931988073,4,4,0.5915510066,N,0.4389577332,0.4389577332,0.4389577332,4,4,0.6540661886,0.8099730563,0.8099730563,0.8099730563,1.0752678469,1.0752678469,1.0752678469
