Finished t_sunset=1, Matutinal 1, w=0.6
Finished t_sunset=1, Matutinal 1, w=0.8
Finished t_sunset=1, Matutinal 1, w=0.7
Finished t_sunset=1, Matutinal 1, w=0.9
Finished t_sunset=1, Matutinal 1, w=1
Finished t_sunset=1, Matutinal 2, w=0
Finished t_sunset=1, Matutinal 2, w=0.1
Finished t_sunset=1, Matutinal 2, w=0.2
Finished t_sunset=1, Matutinal 2, w=0.3
Finished t_sunset=1, Matutinal 2, w=0.5
Finished t_sunset=1, Matutinal 2, w=0.4
Finished t_sunset=1, Matutinal 2, w=0.6
Finished t_sunset=1, Matutinal 2, w=0.7
Finished t_sunset=1, Matutinal 2, w=0.8
Finished t_sunset=1, Matutinal 2, w=0.9
Finished t_sunset=1, Matutinal 2, w=1
Saved spread plot to /home/tim/Documents/Spatial-modelling-of-animal-movements/script/reproduce_day_night/BasicSimulation/output/sleep_pattern_spread.png
