Prey / Predator,D,N,P1,P2,M1,M2
D,0.8504978934,0.8391218848,0.8533155732,0.8451219008,0.8489981366,0.8520327063
N,0.8395323668,0.8281241584,0.8357565082,0.8316884757,0.8357324237,0.8321131095
P1,0.8551005869,0.8308423962,0.8410301178,0.8348793605,0.8383340698,0.8410956233
P2,0.8405602145,0.8281852522,0.8430431325,0.8325775312,0.8394104227,0.8418448844
M1,0.8551499137,0.8282518870,0.8453220838,0.8356663093,0.8364315819,0.8475723590
M2,0.8404648662,0.8309781331,0.8431834913,0.8343052041,0.8459119727,0.8371930164
